Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Date
Norfolk	3.0	0.0	0.0	0.0	1.229e-05	0.0	15.0	6.0	3.75	6.145e-05	2.458e-05	2020-03-22
Norfolk	5	0	0	0	2.049e-05	0.0	25	10	6.25	0.00010245	4.098e-05	2020-03-23
Norfolk	8	0	0	0	3.278e-05	0.0	40	16	10	0.0001639	6.556e-05	2020-03-24
Norfolk	8	0	0	0	3.278e-05	0.0	40	16	10	0.0001639	6.556e-05	2020-03-25
Norfolk	9	0	0	0	3.687e-05	0.0	45	18	11.25	0.00018435	7.374e-05	2020-03-26
Norfolk	8	0	0	0	3.278e-05	0.0	40	16	10	0.0001639	6.556e-05	2020-03-27
Norfolk	10	0	0	0	4.097e-05	0.0	50	20	12.5	0.00020485	8.194e-05	2020-03-28
Norfolk	14.0	0.0	0.0	0.0	5.736e-05	0.0	70.0	28.0	17.5	0.0002868	0.00011472	2020-03-29
Norfolk	17.0	0.0	0.0	0.0	6.965e-05	0.0	85.0	34.0	21.25	0.00034825	0.0001393	2020-03-30
Norfolk	27.0	0.0	0.0	0.0	0.00011062	0.0	135.0	54.0	33.75	0.0005531	0.00022124	2020-03-31
Norfolk	33.0	0.0	0.0	0.0	0.0001352	0.0	165.0	66.0	41.25	0.000676	0.0002704	2020-04-01
Norfolk	37.0	0.0	0.0	0.0	0.00015159	0.0	185.0	74.0	46.25	0.00075795	0.00030318	2020-04-02
Norfolk	43.0	0.0	0.0	0.0	0.00017617	0.0	215.0	86.0	53.75	0.00088085	0.00035234	2020-04-03
Norfolk	55.0	0.0	0.0	0.0	0.00022534	0.0	275.0	110.0	68.75	0.0011267	0.00045068	2020-04-04
Norfolk	59.0	0.0	0.0	0.0	0.00024173	0.0	295.0	118.0	73.75	0.00120865	0.00048346	2020-04-05
Norfolk	60.0	0.0	0.0	0.0	0.00024583	0.0	300.0	120.0	75.0	0.00122915	0.00049166	2020-04-06
Norfolk	72.0	0.0	0.0	0.0	0.00029499	0.0	360.0	144.0	90.0	0.00147495	0.00058998	2020-04-07
Norfolk	77.0	0.0	0.0	0.0	0.00031548	0.0	385.0	154.0	96.25	0.0015774	0.00063096	2020-04-08
Norfolk	84.0	0.0	0.0	0.0	0.00034416	0.0	420.0	168.0	105.0	0.0017208	0.00068832	2020-04-09
Norfolk	88.0	0.0	0.0	0.0	0.00036054	0.0	440.0	176.0	110.0	0.0018027	0.00072108	2020-04-10
Norfolk	90.0	0.0	0.0	0.0	0.00036874	0.0	450.0	180.0	112.5	0.0018437	0.00073748	2020-04-11
Norfolk	90.0	0.0	0.0	90.0	0.00036874	0.0	450.0	180.0	112.5	0.0018437	0.00073748	2020-04-12
Norfolk	99.0	0.0	0.0	99.0	0.00040561	0.0	495.0	198.0	123.75	0.00202805	0.00081122	2020-04-13
Norfolk	99.0	0.0	0.0	99.0	0.00040561	0.0	495.0	198.0	123.75	0.00202805	0.00081122	2020-04-14
