Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita
Madagascar	93	0	11	82	3.54e-6	0	465	186	116.25	1.77e-5	7.08e-6	4.425e-6	NA	NA
Swaziland	12	0	7	5	1.056e-5	0	60	24	15	5.28e-5	2.112e-5	1.32e-5	NA	NA
Liberia	31	4	3	24	6.43e-6	8.3e-7	1333.33333333	615.384615385	400	2.76666666667e-4	1.27692307692e-4	8.3e-5	NA	NA
Sudan	14	2	2	10	3.3e-7	5e-8	666.666666667	307.692307692	200	1.66666666667e-5	7.69230769231e-6	5e-6	NA	NA
Guinea	164	0	5	159	1.321e-5	0	820	328	205	6.605e-5	2.642e-5	1.65125e-5	NA	NA
United Republic of Tanzania	25	1	5	19	4.4e-7	2e-8	333.333333333	153.846153846	100	6.66666666667e-6	3.07692307692e-6	2e-6	NA	NA
Sao Tome and Principe	4	0	0	4	1.895e-5	0	20	8	5	9.475e-5	3.79e-5	2.36875e-5	19	8.7e-5
Republic of the Congo	45	5	2	38	8.58e-6	9.5e-7	1666.66666667	769.230769231	500	3.16666666667e-4	1.46153846154e-4	9.5e-5	NA	NA
Democratic Republic of the Congo	180	18	9	153	2.14e-6	2.1e-7	6000	2769.23076923	1800	7e-5	3.23076923077e-5	2.1e-5	NA	NA
Rwanda	110	0	7	103	8.94e-6	0	550	220	137.5	4.47e-5	1.788e-5	1.1175e-5	806	6.2e-5
Somalia	12	1	1	10	8e-7	7e-8	333.333333333	153.846153846	100	2.33333333333e-5	1.07692307692e-5	7e-6	NA	NA
Ivory Coast	384	3	48	333	1.532e-5	1.2e-7	1000	461.538461538	300	4e-5	1.84615384615e-5	1.2e-5	NA	NA
Nigeria	276	6	44	226	1.41e-6	3e-8	2000	923.076923077	600	1e-5	4.61538461538e-6	3e-6	5000	2.4e-5
Cameroon	730	10	60	660	2.895e-5	4e-7	3333.33333333	1538.46153846	1000	1.33333333333e-4	6.15384615385e-5	4e-5	NA	NA
