Date	New Cases	Med ave	Smooth	Smooth2	Percent
21-Feb	40			40	0.007142857143
22-Feb	59			50	0.008928571429
23-Feb	71			60	0.01071428571
24-Feb	79			75	0.01339285714
25-Feb	93			93	0.01660714286
26-Feb	131	131	131	131	0.02339285714
27-Feb	202	202	188.6666667	189	0.03375
28-Feb	233	233	225	233.1333333	0.04163095238
29-Feb	240	240	271.6666667	291.8666667	0.05211904762
1-Mar	566	342	349.3333333	355.4	0.06346428571
2-Mar	342	466	424.6666667	431.8666667	0.07711904762
3-Mar	466	466	506.3333333	519.8	0.09282142857
4-Mar	587	587	607.3333333	636.2	0.1136071429
5-Mar	769	769	711.3333333	785.7333333	0.1403095238
6-Mar	778	778	931.3333333	966.5333333	0.1725952381
7-Mar	1247	1247	1172.333333	1163.8	0.2078214286
8-Mar	1492	1492	1410.333333	1395.333333	0.2491666667
9-Mar	1797	1492	1593.666667	1638.866667	0.2926547619
10-Mar	977	1797	1869	1905.466667	0.3402619048
11-Mar	2318	2318	2149	2203.066667	0.3934047619
12-Mar	2866	2332	2505.333333	2541.666667	0.4538690476
13-Mar	2332	2866	2898.333333	2869.333333	0.5123809524
14-Mar	3497	3497	3286.666667	3143.066667	0.5612619048
15-Mar	3590	3497	3507.333333	3392.866667	0.6058690476
16-Mar	3233	3528	3517.666667	3683.666667	0.657797619
17-Mar	3528	3528	3754.333333	4060.8	0.7251428571
18-Mar	4207	4207	4352.333333	4512.533333	0.8058095238
19-Mar	5322	5322	5172.333333	4978.066667	0.8889404762
20-Mar	5988	5988	5766	5200	0.9285714286
21-Mar	6557	5988	5845.333333	5400	0.9642857143
22-Mar	5560	5560	5599	5500	0.9821428571
23-Mar	4780	5249	5339.666667	5600	1
24-Mar	5249	5210	5236	5600	1
25-Mar	5210	5249	5456	5550	0.9910714286
26-Mar	6203	5909	5710.666667	5500	0.9821428571
27-Mar	5909	5974	5930.666667	5450	0.9732142857
28-Mar	5974	5909	5700	5350	0.9553571429
29-Mar	5217	5217	5061.333333	5250	0.9375
30-Mar	4050	4058	4444.333333	5150	0.9196428571
31-Mar	4058	4058	4261.333333	5000	0.8928571429
1-Apr	4782	4668	4464.666667	4850	0.8660714286
2-Apr	4668	4668	4654.166667	4700	0.8392857143
3-Apr	4585	4626.5	4647.25	4600	0.8214285714
4-Apr				4500	0.8035714286
5-Apr				4400	0.7857142857
6-Apr				4300	0.7678571429
7-Apr				4150	0.7410714286
8-Apr				4000	0.7142857143
9-Apr				3850	0.6875
10-Apr				3700	0.6607142857
11-Apr				3550	0.6339285714
12-Apr				3400	0.6071428571
13-Apr				3250	0.5803571429
14-Apr				3100	0.5535714286
15-Apr				2970	0.5303571429
16-Apr				2840	0.5071428571
17-Apr				2700	0.4821428571
18-Apr				2560	0.4571428571
19-Apr				2440	0.4357142857
20-Apr				2320	0.4142857143
21-Apr				2300	0.4107142857
22-Apr				2180	0.3892857143
23-Apr				2070	0.3696428571
24-Apr				1970	0.3517857143
25-Apr				1870	0.3339285714
26-Apr				1770	0.3160714286
27-Apr				1670	0.2982142857
28-Apr				1570	0.2803571429
29-Apr				1470	0.2625
30-Apr				1370	0.2446428571
1-May				1270	0.2267857143
2-May				1170	0.2089285714
3-May				1100	0.1964285714
3-May				1050	0.1875
5-May				1000	0.1785714286
6-May				950	0.1696428571
7-May				900	0.1607142857
8-May				850	0.1517857143
9-May				800	0.1428571429
10-May				750	0.1339285714
11-May				700	0.125
12-May				650	0.1160714286
13-May				600	0.1071428571
14-May				570	0.1017857143
15-May				540	0.09642857143
16-May				510	0.09107142857
17-May				480	0.08571428571
18-May				450	0.08035714286
19-May				420	0.075
20-May				390	0.06964285714
21-May				360	0.06428571429
22-May				330	0.05892857143
23-May				300	0.05357142857
24-May				270	0.04821428571
25-May				240	0.04285714286
26-May				220	0.03928571429
27-May				200	0.03571428571
28-May				180	0.03214285714
29-May				160	0.02857142857
30-May				140	0.025
31-May				120	0.02142857143
1-Jun				100	0.01785714286
2-Jun				80	0.01428571429
3-Jun				60	0.01071428571
4-Jun				40	0.007142857143
5-Jun				20	0.003571428571
6-Jun				15	0.002678571429
7-Jun				13	0.002321428571
8-Jun				11	0.001964285714
9-Jun				9	0.001607142857
10-Jun				7	0.00125
11-Jun				6	0.001071428571
12-Jun				5	0.0008928571429
13-Jun				4	0.0007142857143
14-Jun				3	0.0005357142857
15-Jun				2	0.0003571428571
