Name	Predicted_New_Cases	Total_Predicted_New_Cases
Turner	0.0	2.0
Floyd	0.003	63.225
Gilmer	0.0	0.0
Pike	1.373	892.372
Wayne	0.75	892.301
Fulton	0.118	1876.12
Glynn	1.143	684.035
Cherokee	0.007	294.751
Gwinnett	0.03	1190.286
Harris	3.174	1356.306
Early	0.14	424.499
Webster	0.685	592.026
Catoosa	0.0	0.0
Jeff Davis	0.0	0.0
Chattooga	0.0	0.0
Pierce	4.526	1809.171
Lincoln	0.0	0.0
Colquitt	19.047	8137.823
Habersham	0.0	0.0
Meriwether	3.174	1356.306
Camden	0.0	0.0
Quitman	0.0	0.0
Mitchell	8.465	3616.811
Wilkes	0.0	0.0
Lee	0.017	390.041
Washington	1.131	451.039
Richmond	0.013	44.285
Laurens	0.0	1.0
Wilcox	0.0	0.0
Sumter	7.934	4114.259
Baldwin	5.657	2256.211
Macon	0.0	0.0
Effingham	5.657	2259.211
Clayton	0.126	790.086
Fayette	0.003	150.691
Jefferson	0.0	0.0
Newton	0.003	171.323
Pulaski	2.116	904.203
Twiggs	0.0	0.0
Clinch	0.0	0.0
Decatur	2.289	1372.508
McIntosh	0.0	0.0
Bibb	0.002	76.636
Muscogee	0.039	163.412
Rockdale	0.004	176.278
Lumpkin	0.0	0.0
Baker	0.0	0.0
Talbot	1.027	888.035
Monroe	3.394	1354.132
Stewart	0.0	0.0
Irwin	0.0	0.0
Lamar	2.263	909.087
Marion	0.469	450.032
Wheeler	0.0	0.0
Emanuel	0.0	0.0
Houston	0.183	309.459
Dawson	9.051	3611.346
Henry	0.016	501.115
Columbia	10.183	4063.394
Madison	1.131	451.039
Crisp	8.465	3616.811
Bryan	6.349	2712.609
Troup	0.073	219.07
Liberty	4.233	1808.404
Miller	5.657	2259.211
Ben Hill	1.058	452.097
Candler	0.0	0.0
Screven	0.0	0.0
Dougherty	0.017	1195.668
Dade	0.0	0.0
Elbert	0.0	0.0
Long	0.0	0.0
Unassigned	-0.019	-1613.625
Randolph	13.577	5418.515
Stephens	2.116	904.203
Butts	1.953	895.933
Charlton	0.0	0.0
Cook	0.0	0.0
De Kalb	0.012	1142.566
Tattnall	0.0	0.0
Terrell	6.045	3138.626
Chatham	2.453	2626.562
Schley	0.38	296.674
Franklin	0.0	0.0
Coffee	0.0	0.0
Heard	0.0	0.0
Chattahoochee	0.0	0.0
Greene	4.233	1808.404
Hart	0.0	0.0
Bleckley	0.0	0.0
Forsyth	0.013	304.124
Carroll	0.007	222.826
Towns	0.0	0.0
Upson	4.963	2976.102
Jenkins	0.0	0.0
Morgan	0.0	3.0
Oglethorpe	0.0	0.0
Burke	2.116	904.203
Warren	0.0	0.0
Johnson	0.0	0.0
White	0.0	0.0
Bacon	0.0	0.0
Rabun	0.0	0.0
Hall	0.007	349.272
Banks	0.0	0.0
Taylor	0.0	0.0
Crawford	0.0	0.0
Spalding	0.1	182.706
Coweta	0.341	673.992
Jasper	0.0	0.0
Cobb	0.043	1387.742
Polk	2.263	904.087
Tift	0.005	86.178
Peach	6.788	2708.26
Pickens	0.0	0.0
Jackson	1.249	811.622
