Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Lawrence	22.0	2.0	0.0	0.0	0.00025527	2.321e-05	666.666666667	307.692307692	200.0	0.00773666666667	0.00357076923077	0.002321
Lebanon	87.0	0.0	0.0	0.0	0.00061565	0.0	435.0	174.0	108.75	0.00307825	0.0012313	0.0007695625
Schuylkill	77.0	0.0	0.0	0.0	0.000542	0.0	385.0	154.0	96.25	0.00271	0.001084	0.0006775
Lehigh	804.0	7.0	0.0	0.0	0.00218419	1.902e-05	2333.33333333	1076.92307692	700.0	0.00634	0.00292615384615	0.001902
Wayne	28.0	0.0	0.0	0.0	0.00054606	0.0	140.0	56.0	35.0	0.0027303	0.00109212	0.000682575
Cameron	1.0	0.0	0.0	0.0	0.00022262	0.0	5.0	2.0	1.25	0.0011131	0.00044524	0.000278275
Bucks	517.0	11.0	0.0	0.0	0.00082299	1.751e-05	3666.66666667	1692.30769231	1100.0	0.00583666666667	0.00269384615385	0.001751
Allegheny	552.0	3.0	0.0	0.0	0.00045303	2.46e-06	1000.0	461.538461538	300.0	0.00082	0.000378461538462	0.000246
Erie	19.0	0.0	0.0	0.0	6.984e-05	0.0	95.0	38.0	23.75	0.0003492	0.00013968	8.73e-05
Lycoming	10.0	0.0	0.0	0.0	8.798e-05	0.0	50.0	20.0	12.5	0.0004399	0.00017596	0.000109975
Monroe	484.0	11.0	0.0	0.0	0.00285534	6.489e-05	3666.66666667	1692.30769231	1100.0	0.02163	0.00998307692308	0.006489
Clearfield	7.0	0.0	0.0	0.0	8.817e-05	0.0	35.0	14.0	8.75	0.00044085	0.00017634	0.0001102125
