Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-01-25	5.204	2.7e-07	5.204	2.7e-07	0.0	0.0	0.0	0.0
2020-01-26	10.408	5.3e-07	15.613	8e-07	0.0	0.0	0.0	0.0
2020-01-27	20.817	1.07e-06	36.43	1.87e-06	0.0	0.0	0.0	0.0
2020-01-28	41.634	2.14e-06	78.064	4.01e-06	0.0	0.0	0.0	0.0
2020-01-29	72.339	3.71e-06	150.403	7.72e-06	0.0	0.0	0.0	0.0
2020-01-30	144.678	7.43e-06	295.081	1.515e-05	0.0	0.0	0.0	0.0
2020-01-31	217.017	1.114e-05	512.098	2.63e-05	0.0	0.0	0.0	0.0
2020-02-01	434.034	2.229e-05	946.132	4.858e-05	0.0	0.0	0.0	0.0
2020-02-02	723.391	3.715e-05	1669.523	8.573e-05	0.0	0.0	0.0	0.0
2020-02-03	1085.086	5.572e-05	2754.609	0.00014145	0.0	0.0	0.0	0.0
2020-02-04	1446.781	7.429e-05	4201.39	0.00021574	0.031	0.0	0.031	0.0
2020-02-05	1808.476	9.287e-05	6009.866	0.00030861	0.062	0.0	0.094	0.0
2020-02-06	2170.172	0.00011144	8180.037	0.00042005	0.125	1e-08	0.219	1e-08
2020-02-07	2531.867	0.00013001	10711.904	0.00055006	0.25	1e-08	0.468	2e-08
2020-02-08	3038.24	0.00015602	13750.144	0.00070608	0.434	2e-08	0.902	5e-08
2020-02-09	3616.953	0.00018573	17367.097	0.00089181	0.868	4e-08	1.77	9e-08
2020-02-10	4340.343	0.00022288	21707.44	0.00111469	1.302	7e-08	3.073	1.6e-07
2020-02-11	5208.412	0.00026746	26915.852	0.00138215	2.604	1.3e-07	5.677	2.9e-07
2020-02-12	6727.532	0.00034546	33643.384	0.00172761	4.34	2.2e-07	10.017	5.1e-07
2020-02-13	9476.416	0.00048662	43119.799	0.00221423	6.511	3.3e-07	16.528	8.5e-07
