Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Yolo	6	1	0	0	2.722e-5	4.54e-6	333.333333333	153.846153846	100	0.00151333333333	6.98461538462e-4	4.54e-4	0	1
Santa Clara	302	10	0	0	1.5587e-4	5.16e-6	3333.33333333	1538.46153846	1000	0.00172	7.93846153846e-4	5.16e-4	39	2
Lake	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imperial	6	0	0	0	3.3e-5	0	30	12	7.5	1.65e-4	6.6e-5	4.125e-5	0	0
Sierra	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Madera	3	0	0	0	1.903e-5	0	15	6	3.75	9.515e-5	3.806e-5	2.37875e-5	0	0
Shasta	2	0	0	0	1.111e-5	0	10	4	2.5	5.555e-5	2.222e-5	1.38875e-5	1	0
Plumas	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuolumne	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Napa	2	0	0	0	1.435e-5	0	10	4	2.5	7.175e-5	2.87e-5	1.79375e-5	1	0
Tulare	16	0	0	0	3.435e-5	0	80	32	20	1.7175e-4	6.87e-5	4.29375e-5	4	0
Orange	125	0	0	0	3.923e-5	0	625	250	156.25	1.9615e-4	7.846e-5	4.90375e-5	30	0
San Francisco	131	0	0	0	1.4831e-4	0	655	262	163.75	7.4155e-4	2.9662e-4	1.853875e-4	23	0
Riverside	46	6	0	0	1.877e-5	2.45e-6	2000	923.076923077	600	8.16666666667e-4	3.76923076923e-4	2.45e-4	17	0
Alameda	118	1	0	0	7.08e-5	6e-7	333.333333333	153.846153846	100	2e-4	9.23076923077e-5	6e-5	47	1
Colusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trinity	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solano	14	0	0	0	3.135e-5	0	70	28	17.5	1.5675e-4	6.27e-5	3.91875e-5	1	0
Sacramento	88	4	0	0	5.711e-5	2.6e-6	1333.33333333	615.384615385	400	8.66666666667e-4	4e-4	2.6e-4	35	1
San Diego	201	1	0	0	6.012e-5	3e-7	333.333333333	153.846153846	100	1e-4	4.61538461538e-5	3e-5	46	1
San Mateo	142	1	0	0	1.8452e-4	1.3e-6	333.333333333	153.846153846	100	4.33333333333e-4	2e-4	1.3e-4	25	0
Marin	38	0	0	0	1.4634e-4	0	190	76	47.5	7.317e-4	2.9268e-4	1.82925e-4	0	0
Santa Cruz	22	0	0	0	8.022e-5	0	110	44	27.5	4.011e-4	1.6044e-4	1.00275e-4	7	0
Amador	1	0	0	0	2.539e-5	0	5	2	1.25	1.2695e-4	5.078e-5	3.17375e-5	0	0
Los Angeles	536	7	0	0	5.304e-5	6.9e-7	2333.33333333	1076.92307692	700	2.3e-4	1.06153846154e-4	6.9e-5	129	2
Modoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lassen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butte	2	0	0	0	8.65e-6	0	10	4	2.5	4.325e-5	1.73e-5	1.08125e-5	1	0
Stanislaus	8	0	0	0	1.455e-5	0	40	16	10	7.275e-5	2.91e-5	1.81875e-5	3	0
Alpine	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mariposa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siskiyou	2	0	0	0	4.574e-5	0	10	4	2.5	2.287e-4	9.148e-5	5.7175e-5	0	0
Placer	12	1	0	0	3.052e-5	2.54e-6	333.333333333	153.846153846	100	8.46666666667e-4	3.90769230769e-4	2.54e-4	0	0
Mono	1	0	0	0	7.018e-5	0	5	2	1.25	3.509e-4	1.4036e-4	8.7725e-5	0	0
Contra Costa	71	1	0	0	6.173e-5	8.7e-7	333.333333333	153.846153846	100	2.9e-4	1.33846153846e-4	8.7e-5	10	0
Del Norte	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutter	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kern	12	0	0	0	1.338e-5	0	60	24	15	6.69e-5	2.676e-5	1.6725e-5	7	0
Ventura	30	1	0	0	3.525e-5	1.18e-6	333.333333333	153.846153846	100	3.93333333333e-4	1.81538461538e-4	1.18e-4	5	1
Sonoma	29	1	0	0	5.801e-5	2e-6	333.333333333	153.846153846	100	6.66666666667e-4	3.07692307692e-4	2e-4	7	0
Calaveras	2	0	0	0	4.386e-5	0	10	4	2.5	2.193e-4	8.772e-5	5.4825e-5	0	0
Inyo	0	0	0	0	0	0	0	0	0	0	0	0	0	0
San Bernardino	17	0	0	0	7.83e-6	0	85	34	21.25	3.915e-5	1.566e-5	9.7875e-6	0	0
Monterey	14	1	0	0	3.214e-5	2.3e-6	333.333333333	153.846153846	100	7.66666666667e-4	3.53846153846e-4	2.3e-4	3	0
Nevada	2	0	0	0	2.006e-5	0	10	4	2.5	1.003e-4	4.012e-5	2.5075e-5	1	0
San Joaquin	41	2	0	0	5.447e-5	2.66e-6	666.666666667	307.692307692	200	8.86666666667e-4	4.09230769231e-4	2.66e-4	10	0
Humboldt	2	0	0	0	1.467e-5	0	10	4	2.5	7.335e-5	2.934e-5	1.83375e-5	0	0
Glenn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merced	1	0	0	0	3.64e-6	0	5	2	1.25	1.82e-5	7.28e-6	4.55e-6	1	0
Fresno	6	0	0	0	6.03e-6	0	30	12	7.5	3.015e-5	1.206e-5	7.5375e-6	0	0
Yuba	3	0	0	0	3.844e-5	0	15	6	3.75	1.922e-4	7.688e-5	4.805e-5	1	0
El Dorado	2	0	0	0	1.049e-5	0	10	4	2.5	5.245e-5	2.098e-5	1.31125e-5	2	0
San Luis Obispo	27	0	0	0	9.507e-5	0	135	54	33.75	4.7535e-4	1.9014e-4	1.188375e-4	0	0
San Benito	6	1	0	0	9.75e-5	1.625e-5	333.333333333	153.846153846	100	0.00541666666667	0.0025	0.001625	1	0
Tehama	0	0	0	0	0	0	0	0	0	0	0	0	0	0
