Name	Predicted_New_Cases	Total_Predicted_New_Cases
Shasta	89.085	3061.109
Yuba	8.594	314.404
Alpine	0.0	0.0
San Mateo	12.233	1320.277
Riverside	3910.82	134397.996
Sacramento	819.58	28154.606
Butte	8.908	305.81
Ventura	2.811	391.208
Kern	534.508	18357.653
San Benito	0.0	0.0
San Bernardino	226.162	10026.292
Madera	0.0	0.0
Fresno	2.314	250.244
Glenn	0.0	0.0
Tulare	49.449	3018.518
Santa Barbara	2.733	386.343
San Joaquin	0.852	157.559
Alameda	7.908	1221.763
Placer	1.984	213.207
Siskiyou	0.0	1.0
Contra Costa	8.186	1225.094
Del Norte	5.415	373.029
Humboldt	1.584	151.488
Calaveras	8.908	306.81
Santa Clara	6.26	1003.418
Lake	0.0	0.0
San Francisco	2.246	530.733
Unassigned	0.0	0.0
Stanislaus	1.562	223.342
Amador	0.0	3.0
Plumas	0.052	11.408
Los Angeles	308.846	29962.418
Monterey	1.488	157.653
Sonoma	0.618	97.731
Tuolumne	0.0	0.0
Colusa	0.0	0.0
Santa Cruz	0.39	54.333
Marin	1.236	191.462
El Dorado	0.035	6.913
Tehama	0.0	0.0
Inyo	0.042	7.668
San Diego	63.761	6536.446
Imperial	0.841	112.716
Merced	0.4	67.527
Nevada	0.124	19.75
Napa	0.106	19.007
Mendocino	0.0	0.0
Orange	4.14	971.327
