Name	Confirmed	Deaths	Recovered	Active
Yolo	16	1	0	0
Santa Clara	591	25	0	0
Lake	0	0	0	0
Imperial	21	0	0	0
Sierra	0	0	0	0
Madera	11	1	0	0
Shasta	3	1	0	0
Plumas	0	0	0	0
Tuolumne	0	0	0	0
Napa	9	0	0	0
Tulare	24	0	0	0
Orange	403	4	0	0
San Francisco	308	4	0	0
Riverside	183	8	0	0
Alameda	220	4	0	0
Colusa	1	0	0	0
Trinity	0	0	0	0
Solano	34	0	0	0
Sacramento	164	6	0	0
San Diego	413	6	0	0
San Mateo	274	6	0	0
Marin	68	1	0	0
Santa Cruz	34	0	0	0
Amador	2	0	0	0
Los Angeles	1465	26	0	0
Modoc	0	0	0	0
Lassen	0	0	0	0
Butte	5	0	0	0
Stanislaus	23	0	0	0
Alpine	0	0	0	0
Mariposa	0	0	0	0
Siskiyou	3	0	0	0
Placer	41	1	0	0
Mono	8	0	0	0
Contra Costa	168	2	0	0
Del Norte	0	0	0	0
Sutter	3	0	0	0
Kern	47	1	0	0
Ventura	83	3	0	0
Sonoma	50	1	0	0
Calaveras	3	0	0	0
Inyo	5	0	0	0
San Bernardino	76	3	0	0
Monterey	32	1	0	0
Nevada	12	0	0	0
San Joaquin	93	4	0	0
Humboldt	14	0	0	0
Glenn	0	0	0	0
Merced	7	0	0	0
Fresno	31	0	0	0
Yuba	3	0	0	0
El Dorado	12	0	0	0
San Luis Obispo	67	0	0	0
San Benito	14	1	0	0
Tehama	0	0	0	0
Kings	2	0	0	0
Mendocino	2	0	0	0
Santa Barbara	47	0	0	0
