Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Preble	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Richland	1	0	0	0	8.26e-6	0	5	2	1.25	4.13e-5	1.652e-5	1.0325e-5	0	0
Shelby	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Union	1	0	0	0	1.729e-5	0	5	2	1.25	8.645e-5	3.458e-5	2.16125e-5	0	0
Paulding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Montgomery	7	0	0	0	1.315e-5	0	35	14	8.75	6.575e-5	2.63e-5	1.64375e-5	2	0
Wayne	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brown	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Champaign	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defiance	2	0	0	0	5.24e-5	0	10	4	2.5	2.62e-4	1.048e-4	6.55e-5	0	0
Miami	17	0	0	0	1.6004e-4	0	85	34	21.25	8.002e-4	3.2008e-4	2.0005e-4	4	0
Hancock	1	0	0	0	1.317e-5	0	5	2	1.25	6.585e-5	2.634e-5	1.64625e-5	0	0
Lorain	24	0	0	0	7.755e-5	0	120	48	30	3.8775e-4	1.551e-4	9.69375e-5	5	0
Columbiana	2	0	0	0	1.948e-5	0	10	4	2.5	9.74e-5	3.896e-5	2.435e-5	0	0
Henry	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muskingum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belmont	2	0	0	0	2.963e-5	0	10	4	2.5	1.4815e-4	5.926e-5	3.70375e-5	0	0
Gallia	1	0	0	0	3.336e-5	0	5	2	1.25	1.668e-4	6.672e-5	4.17e-5	0	0
Marion	3	0	0	0	4.597e-5	0	15	6	3.75	2.2985e-4	9.194e-5	5.74625e-5	2	0
Allen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Huron	1	0	0	0	1.709e-5	0	5	2	1.25	8.545e-5	3.418e-5	2.13625e-5	0	0
Darke	1	0	0	0	1.948e-5	0	5	2	1.25	9.74e-5	3.896e-5	2.435e-5	0	0
Warren	5	0	0	0	2.154e-5	0	25	10	6.25	1.077e-4	4.308e-5	2.6925e-5	2	0
Perry	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jackson	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Washington	1	0	0	0	1.662e-5	0	5	2	1.25	8.31e-5	3.324e-5	2.0775e-5	0	0
Wyandot	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jefferson	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ashtabula	3	0	0	0	3.077e-5	0	15	6	3.75	1.5385e-4	6.154e-5	3.84625e-5	1	0
Butler	17	0	0	0	4.446e-5	0	85	34	21.25	2.223e-4	8.892e-5	5.5575e-5	0	0
Ross	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vinton	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hamilton	26	0	0	0	3.184e-5	0	130	52	32.5	1.592e-4	6.368e-5	3.98e-5	7	0
Scioto	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Greene	1	0	0	0	5.95e-6	0	5	2	1.25	2.975e-5	1.19e-5	7.4375e-6	0	0
Fulton	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seneca	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Madison	1	0	0	0	2.252e-5	0	5	2	1.25	1.126e-4	4.504e-5	2.815e-5	0	0
Clinton	1	0	0	0	2.378e-5	0	5	2	1.25	1.189e-4	4.756e-5	2.9725e-5	0	0
Clark	1	0	0	0	7.43e-6	0	5	2	1.25	3.715e-5	1.486e-5	9.2875e-6	0	0
Trumbull	3	0	0	0	1.51e-5	0	15	6	3.75	7.55e-5	3.02e-5	1.8875e-5	0	0
Erie	1	1	0	0	1.34e-5	1.34e-5	333.333333333	153.846153846	100	0.00446666666667	0.00206153846154	0.00134	0	0
Cuyahoga	149	1	0	0	1.1979e-4	8e-7	333.333333333	153.846153846	100	2.66666666667e-4	1.23076923077e-4	8e-5	24	0
Meigs	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	7	0	0	0	3.418e-5	0	35	14	8.75	1.709e-4	6.836e-5	4.2725e-5	1	0
Stark	12	1	0	0	3.23e-5	2.69e-6	333.333333333	153.846153846	100	8.96666666667e-4	4.13846153846e-4	2.69e-4	2	1
Fairfield	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geauga	2	0	0	0	2.127e-5	0	10	4	2.5	1.0635e-4	4.254e-5	2.65875e-5	0	0
Coshocton	3	0	0	0	8.19e-5	0	15	6	3.75	4.095e-4	1.638e-4	1.02375e-4	1	0
Lawrence	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fayette	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Medina	15	0	0	0	8.373e-5	0	75	30	18.75	4.1865e-4	1.6746e-4	1.046625e-4	5	0
Van Wert	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pike	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adams	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clermont	5	0	0	0	2.433e-5	0	25	10	6.25	1.2165e-4	4.866e-5	3.04125e-5	0	0
Licking	1	0	0	0	5.69e-6	0	5	2	1.25	2.845e-5	1.138e-5	7.1125e-6	0	0
Lake	8	0	0	0	3.471e-5	0	40	16	10	1.7355e-4	6.942e-5	4.33875e-5	2	0
Morrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Summit	28	0	0	0	5.167e-5	0	140	56	35	2.5835e-4	1.0334e-4	6.45875e-5	5	0
Franklin	44	2	0	0	3.358e-5	1.53e-6	666.666666667	307.692307692	200	5.1e-4	2.35384615385e-4	1.53e-4	10	2
Guernsey	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Highland	1	0	0	0	2.322e-5	0	5	2	1.25	1.161e-4	4.644e-5	2.9025e-5	1	0
Holmes	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morgan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carroll	2	0	0	0	7.385e-5	0	10	4	2.5	3.6925e-4	1.477e-4	9.23125e-5	1	0
Harrison	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mercer	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mahoning	23	0	0	0	1.0016e-4	0	115	46	28.75	5.008e-4	2.0032e-4	1.252e-4	5	0
Portage	2	0	0	0	1.228e-5	0	10	4	2.5	6.14e-5	2.456e-5	1.535e-5	1	0
Sandusky	1	0	0	0	1.701e-5	0	5	2	1.25	8.505e-5	3.402e-5	2.12625e-5	1	0
Athens	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hocking	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wood	2	0	0	0	1.53e-5	0	10	4	2.5	7.65e-5	3.06e-5	1.9125e-5	1	0
Crawford	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Williams	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Noble	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuscarawas	2	0	0	0	2.17e-5	0	10	4	2.5	1.085e-4	4.34e-5	2.7125e-5	0	0
Knox	1	0	0	0	1.616e-5	0	5	2	1.25	8.08e-5	3.232e-5	2.02e-5	0	0
Putnam	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hardin	0	0	0	0	0	0	0	0	0	0	0	0	0	0
