Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Sao Tome and Principe	0.006	3e-08	0.016	7e-08	0.0	0.0	0.0	0.0
Ethiopia	5.602	5e-08	388.775	3.56e-06	0.034	0.0	2.333	2e-08
Swaziland	0.073	6e-08	3.986	3.51e-06	0.0	0.0	0.024	2e-08
Cameroon	0.323	1e-08	94.734	3.76e-06	0.002	0.0	0.568	2e-08
Burkina Faso	0.658	3e-08	72.583	3.67e-06	0.004	0.0	0.435	2e-08
Guinea	0.637	5e-08	44.188	3.56e-06	0.004	0.0	0.265	2e-08
Liberia	0.457	9e-08	16.214	3.36e-06	0.003	0.0	0.097	2e-08
Kenya	2.636	5e-08	182.929	3.56e-06	0.016	0.0	1.098	2e-08
Mauritania	0.282	6e-08	15.447	3.51e-06	0.002	0.0	0.093	2e-08
Rwanda	0.789	6e-08	43.157	3.51e-06	0.005	0.0	0.259	2e-08
Seychelles	0.006	6e-08	0.339	3.51e-06	0.0	0.0	0.002	2e-08
Malawi	2.326	1.3e-07	7.165	3.9e-07	0.014	0.0	0.043	0.0
Benin	1.09	9e-08	38.642	3.36e-06	0.007	0.0	0.232	2e-08
Libya	1.353	2e-07	14.301	2.14e-06	0.008	0.0	0.086	1e-08
Republic of the Congo	0.417	8e-08	18.062	3.44e-06	0.003	0.0	0.108	2e-08
Togo	0.101	1e-08	29.638	3.76e-06	0.001	0.0	0.178	2e-08
Ghana	1.908	6e-08	104.427	3.51e-06	0.011	0.0	0.627	2e-08
Central African Republic	0.371	8e-08	16.071	3.44e-06	0.002	0.0	0.096	2e-08
Mauritius	0.162	1.3e-07	3.998	3.16e-06	0.001	0.0	0.024	2e-08
Mali	3.914	2.1e-07	36.986	1.94e-06	0.023	0.0	0.222	1e-08
Angola	5.294	1.7e-07	88.806	2.88e-06	0.032	0.0	0.533	2e-08
South Africa	0.593	1e-08	217.663	3.77e-06	0.004	0.0	1.306	2e-08
Senegal	0.041	0.0	59.969	3.78e-06	0.0	0.0	0.36	2e-08
Mozambique	5.522	1.9e-07	74.581	2.53e-06	0.033	0.0	0.447	2e-08
Uganda	7.779	1.8e-07	115.805	2.71e-06	0.047	0.0	0.695	2e-08
Niger	3.856	1.7e-07	64.69	2.88e-06	0.023	0.0	0.388	2e-08
Cape Verde	0.093	1.7e-07	1.567	2.88e-06	0.001	0.0	0.009	2e-08
Sierra Leone	1.354	1.8e-07	5.572	7.3e-07	0.008	0.0	0.033	0.0
Namibia	0.157	6e-08	8.589	3.51e-06	0.001	0.0	0.052	2e-08
Morocco	0.092	0.0	136.281	3.78e-06	0.001	0.0	0.818	2e-08
Guinea-Bissau	0.385	2.1e-07	3.634	1.94e-06	0.002	0.0	0.022	1e-08
United Republic of Tanzania	5.344	9e-08	189.484	3.36e-06	0.032	0.0	1.137	2e-08
Chad	2.302	1.5e-07	46.915	3.03e-06	0.014	0.0	0.281	2e-08
Djibouti	0.123	1.3e-07	3.03	3.16e-06	0.001	0.0	0.018	2e-08
Burundi	1.977	1.8e-07	8.139	7.3e-07	0.012	0.0	0.049	0.0
Somalia	1.424	9e-08	50.495	3.36e-06	0.009	0.0	0.303	2e-08
Madagascar	4.512	1.7e-07	75.699	2.88e-06	0.027	0.0	0.454	2e-08
Sudan	2.144	5e-08	148.789	3.56e-06	0.013	0.0	0.893	2e-08
Democratic Republic of the Congo	3.234	4e-08	306.132	3.64e-06	0.019	0.0	1.837	2e-08
Zambia	2.225	1.3e-07	54.821	3.16e-06	0.013	0.0	0.329	2e-08
Zimbabwe	2.481	1.7e-07	41.619	2.88e-06	0.015	0.0	0.25	2e-08
Gambia	0.251	1.1e-07	7.455	3.27e-06	0.002	0.0	0.045	2e-08
Eritrea	0.815	1.8e-07	12.13	2.71e-06	0.005	0.0	0.073	2e-08
South Sudan	0.422	4e-08	1.238	1.1e-07	0.003	0.0	0.007	0.0
Equatorial Guinea	0.104	8e-08	4.508	3.44e-06	0.001	0.0	0.027	2e-08
Tunisia	0.089	1e-08	43.657	3.77e-06	0.001	0.0	0.262	2e-08
Gabon	0.136	6e-08	7.435	3.51e-06	0.001	0.0	0.045	2e-08
Botswana	0.428	1.9e-07	2.069	9.2e-07	0.003	0.0	0.012	1e-08
