Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Sao Tome and Principe	0.015	7e-08	0.035	1.6e-07	0.0	0.0	0.0	0.0
Ethiopia	12868.519	0.00011782	704165.351	0.00644695	243.987	2.23e-06	2578.851	2.361e-05
Swaziland	1.727	1.52e-06	74.804	6.584e-05	0.027	2e-08	0.253	2.2e-07
Cameroon	192.047	7.62e-06	40055.427	0.00158848	7.078	2.8e-07	209.879	8.32e-06
Burkina Faso	252.488	1.278e-05	23902.207	0.00121014	7.171	3.6e-07	106.752	5.4e-06
Guinea	166.239	1.339e-05	9096.614	0.00073275	3.152	2.5e-07	33.314	2.68e-06
Liberia	43.085	8.94e-06	1277.52	0.0002651	0.481	1e-07	3.577	7.4e-07
Kenya	2849.024	5.544e-05	155898.58	0.00303346	54.017	1.05e-06	570.944	1.111e-05
Mauritania	25.934	5.89e-06	1123.529	0.00025516	0.402	9e-08	3.795	8.6e-07
Rwanda	202.422	1.645e-05	8769.425	0.00071285	3.134	2.5e-07	29.619	2.41e-06
Seychelles	0.013	1.3e-07	0.543	5.61e-06	0.0	0.0	0.002	2e-08
Malawi	511.309	2.818e-05	1477.116	8.141e-05	0.0	0.0	0.0	0.0
Benin	244.727	2.131e-05	7256.443	0.00063182	2.732	2.4e-07	20.318	1.77e-06
Libya	153.959	2.305e-05	1454.911	0.00021785	0.277	4e-08	0.785	1.2e-07
Republic of the Congo	43.907	8.37e-06	1556.924	0.00029688	0.577	1.1e-07	4.813	9.2e-07
Togo	18.798	2.38e-06	3920.623	0.00049697	0.693	9e-08	20.543	2.6e-06
Ghana	1185.176	3.981e-05	51344.893	0.00172489	18.351	6.2e-07	173.418	5.83e-06
Central African Republic	34.762	7.45e-06	1232.655	0.00026416	0.457	1e-07	3.811	8.2e-07
Mauritius	4.006	3.17e-06	81.65	6.453e-05	0.032	3e-08	0.181	1.4e-07
Mali	1271.992	6.667e-05	10615.641	0.00055644	1.413	7e-08	4.146	2.2e-07
Angola	2907.924	9.438e-05	43291.2	0.00140511	16.956	5.5e-07	69.79	2.27e-06
South Africa	720.224	1.247e-05	211025.516	0.00365225	31.978	5.5e-07	1133.92	1.962e-05
Senegal	21.691	1.37e-06	15986.113	0.00100831	1.301	8e-08	90.32	5.7e-06
Mozambique	2927.977	9.927e-05	34272.348	0.00116193	11.261	3.8e-07	34.685	1.18e-06
Uganda	5749.064	0.00013457	77651.737	0.00181756	28.824	6.7e-07	101.593	2.38e-06
Niger	1543.001	6.875e-05	22971.151	0.00102354	8.997	4e-07	37.032	1.65e-06
Cape Verde	0.906	1.67e-06	13.485	2.48e-05	0.005	1e-08	0.022	4e-08
Sierra Leone	154.035	2.013e-05	542.909	7.097e-05	0.015	0.0	0.03	0.0
Namibia	8.017	3.27e-06	347.326	0.00014187	0.124	5e-08	1.173	4.8e-07
Morocco	112.017	3.11e-06	82556.863	0.00229139	6.721	1.9e-07	466.441	1.295e-05
Guinea-Bissau	12.278	6.55e-06	102.465	5.467e-05	0.014	1e-08	0.04	2e-08
United Republic of Tanzania	5884.59	0.00010449	174484.942	0.00309819	65.688	1.17e-06	488.558	8.67e-06
Chad	692.53	4.474e-05	11617.963	0.00075062	4.589	3e-07	22.202	1.43e-06
Djibouti	2.301	2.4e-06	46.895	4.89e-05	0.019	2e-08	0.104	1.1e-07
Burundi	328.702	2.941e-05	1158.54	0.00010367	0.032	0.0	0.065	1e-08
Somalia	417.899	2.784e-05	12391.181	0.00082563	4.665	3.1e-07	34.695	2.31e-06
Madagascar	2112.876	8.045e-05	31455.074	0.00119772	12.32	4.7e-07	50.709	1.93e-06
Sudan	1884.831	4.509e-05	103137.944	0.00246732	35.736	8.5e-07	377.72	9.04e-06
Democratic Republic of the Congo	5183.931	6.166e-05	428436.684	0.00509631	133.562	1.59e-06	1804.008	2.146e-05
Zambia	753.47	4.342e-05	15355.204	0.00088493	6.08	3.5e-07	33.984	1.96e-06
Zimbabwe	638.678	4.423e-05	9508.199	0.00065851	3.724	2.6e-07	15.328	1.06e-06
Gambia	11.216	4.92e-06	276.355	0.0001212	0.106	5e-08	0.693	3e-07
Eritrea	63.075	1.409e-05	851.944	0.00019038	0.316	7e-08	1.115	2.5e-07
South Sudan	57.177	5.21e-06	150.74	1.373e-05	0.0	0.0	0.0	0.0
Equatorial Guinea	2.735	2.09e-06	96.994	7.41e-05	0.036	3e-08	0.3	2.3e-07
Tunisia	23.084	2e-06	8477.667	0.00073303	1.073	9e-08	46.503	4.02e-06
Gabon	6.007	2.83e-06	260.255	0.0001228	0.093	4e-08	0.879	4.1e-07
Botswana	15.127	6.71e-06	62.262	2.762e-05	0.001	0.0	0.004	0.0
