Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
South Africa	1008.313	1.745e-05	210305.293	0.00363978	37.164	6.4e-07	1101.942	1.907e-05
Cyprus	0.886	7.6e-07	83.87	7.168e-05	0.025	2e-08	0.375	3.2e-07
Liechtenstein	0.0	1e-08	0.091	2.4e-06	0.0	0.0	0.0	1e-08
Qatar	0.334	1.2e-07	492.44	0.00017703	0.034	1e-08	2.814	1.01e-06
Qatar	0.0	0.0	492.44	0.00017703	0.03	1e-08	2.844	1.02e-06
Qatar	0.0	0.0	492.44	0.00017703	0.026	1e-08	2.871	1.03e-06
Qatar	0.0	0.0	492.44	0.00017703	0.022	1e-08	2.893	1.04e-06
Qatar	0.0	0.0	492.44	0.00017703	0.018	1e-08	2.911	1.05e-06
Qatar	0.0	0.0	492.44	0.00017703	0.014	1e-08	2.925	1.05e-06
Qatar	0.0	0.0	492.44	0.00017703	0.01	0.0	2.935	1.05e-06
Qatar	0.0	0.0	492.44	0.00017703	0.008	0.0	2.943	1.06e-06
Qatar	0.0	0.0	492.44	0.00017703	0.006	0.0	2.949	1.06e-06
Qatar	0.0	0.0	492.44	0.00017703	0.004	0.0	2.953	1.06e-06
Qatar	0.0	0.0	492.44	0.00017703	0.002	0.0	2.955	1.06e-06
Senegal	32.536	2.05e-06	15964.422	0.00100694	1.627	1e-07	89.019	5.61e-06
Mozambique	2965.515	0.00010054	31344.371	0.00106267	8.108	2.7e-07	23.424	7.9e-07
Uganda	6142.835	0.00014378	71902.674	0.00168299	23.626	5.5e-07	72.769	1.7e-06
Hungary	20.587	2.11e-06	6032.074	0.00061748	0.914	9e-08	32.413	3.32e-06
Niger	1586.465	7.069e-05	21428.15	0.00095478	7.954	3.5e-07	28.035	1.25e-06
The Bahamas	0.321	8.3e-07	7.905	2.05e-05	0.003	1e-08	0.02	5e-08
Panama	12.797	3.06e-06	1057.613	0.00025321	0.33	8e-08	4.453	1.07e-06
Costa Rica	9.706	1.94e-06	1566.955	0.00031343	0.324	6e-08	7.972	1.59e-06
Luxembourg	0.016	3e-08	23.505	3.868e-05	0.002	0.0	0.134	2.2e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.001	0.0	0.136	2.2e-07
Luxembourg	0.0	0.0	23.505	3.868e-05	0.001	0.0	0.137	2.3e-07
