Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
United States of America	0.839	0.0	1.678	1e-08	0.005	0.0	0.01	0.0
Japan	0.324	0.0	0.649	1e-08	0.002	0.0	0.004	0.0
South Korea	0.132	0.0	0.265	1e-08	0.001	0.0	0.002	0.0
France	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Singapore	0.014	0.0	0.014	0.0	0.0	0.0	0.0	0.0
China	264.294	1.9e-07	1278.612	9.2e-07	1.586	0.0	7.672	1e-08
Vietnam	0.245	0.0	0.245	0.0	0.001	0.0	0.001	0.0
Malaysia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Australia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Thailand	0.178	0.0	0.356	1e-08	0.001	0.0	0.002	0.0
Taiwan	0.061	0.0	0.122	1e-08	0.0	0.0	0.001	0.0
Nepal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
