Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
East Timor	0.101	8e-08	4.367	3.44e-06	0.001	0.0	0.026	2e-08
Sao Tome and Principe	0.037	1.8e-07	0.154	7.3e-07	0.0	0.0	0.001	0.0
Guernsey	0.002	2e-08	0.25	3.73e-06	0.0	0.0	0.001	2e-08
Vatican	0.0	1e-08	0.003	3.77e-06	0.0	0.0	0.0	2e-08
Saint Kitts and Nevis	0.008	1.5e-07	0.159	3.03e-06	0.0	0.0	0.001	2e-08
Ethiopia	1.961	2e-08	408.942	3.74e-06	0.012	0.0	2.454	2e-08
Aruba	0.002	2e-08	0.396	3.74e-06	0.0	0.0	0.002	2e-08
Swaziland	0.026	2e-08	4.234	3.73e-06	0.0	0.0	0.025	2e-08
Bolivia	0.116	1e-08	42.769	3.77e-06	0.001	0.0	0.257	2e-08
Burkina Faso	0.152	1e-08	74.559	3.77e-06	0.001	0.0	0.447	2e-08
Guatemala	0.398	2e-08	64.267	3.73e-06	0.002	0.0	0.386	2e-08
Guinea	0.223	2e-08	46.48	3.74e-06	0.001	0.0	0.279	2e-08
Liberia	0.161	3e-08	17.709	3.67e-06	0.001	0.0	0.106	2e-08
Jamaica	0.03	1e-08	11.056	3.77e-06	0.0	0.0	0.066	2e-08
Yemen	1.754	6e-08	4.97	1.7e-07	0.011	0.0	0.03	0.0
Jersey	0.002	2e-08	0.364	3.73e-06	0.0	0.0	0.002	2e-08
Albania	0.015	1e-08	10.835	3.78e-06	0.0	0.0	0.065	2e-08
Uruguay	0.08	2e-08	12.852	3.73e-06	0.0	0.0	0.077	2e-08
Saint Vincent and the Grenadines	0.003	2e-08	0.411	3.73e-06	0.0	0.0	0.002	2e-08
Kenya	0.923	2e-08	192.418	3.74e-06	0.006	0.0	1.155	2e-08
Turkey	0.844	1e-08	310.109	3.77e-06	0.005	0.0	1.861	2e-08
Mauritania	0.102	2e-08	16.407	3.73e-06	0.001	0.0	0.098	2e-08
Saint Lucia	0.004	2e-08	0.678	3.73e-06	0.0	0.0	0.004	2e-08
Mongolia	0.024	1e-08	11.967	3.77e-06	0.0	0.0	0.072	2e-08
Rwanda	0.284	2e-08	45.838	3.73e-06	0.002	0.0	0.275	2e-08
Laos	0.905	1.3e-07	22.31	3.16e-06	0.005	0.0	0.134	2e-08
Seychelles	0.002	2e-08	0.361	3.73e-06	0.0	0.0	0.002	2e-08
Malawi	3.722	2.1e-07	27.684	1.53e-06	0.022	0.0	0.166	1e-08
Benin	0.383	3e-08	42.205	3.67e-06	0.002	0.0	0.253	2e-08
Libya	0.856	1.3e-07	21.1	3.16e-06	0.005	0.0	0.127	2e-08
Montenegro	0.024	4e-08	2.266	3.64e-06	0.0	0.0	0.014	2e-08
Republic of the Congo	0.148	3e-08	19.42	3.7e-06	0.001	0.0	0.117	2e-08
Ghana	0.687	2e-08	110.915	3.73e-06	0.004	0.0	0.665	2e-08
Central African Republic	0.132	3e-08	17.28	3.7e-06	0.001	0.0	0.104	2e-08
Mauritius	0.055	4e-08	4.559	3.6e-06	0.0	0.0	0.027	2e-08
Mali	2.838	1.5e-07	57.827	3.03e-06	0.017	0.0	0.347	2e-08
Bulgaria	0.018	0.0	26.569	3.78e-06	0.0	0.0	0.159	2e-08
Angola	1.975	6e-08	108.084	3.51e-06	0.012	0.0	0.649	2e-08
Cyprus	0.006	1e-08	4.423	3.78e-06	0.0	0.0	0.027	2e-08
Mozambique	2.799	9e-08	99.24	3.36e-06	0.017	0.0	0.595	2e-08
Uganda	3.396	8e-08	147.139	3.44e-06	0.02	0.0	0.883	2e-08
Niger	1.439	6e-08	78.733	3.51e-06	0.009	0.0	0.472	2e-08
The Bahamas	0.013	3e-08	1.417	3.67e-06	0.0	0.0	0.009	2e-08
Panama	0.032	1e-08	15.767	3.77e-06	0.0	0.0	0.095	2e-08
Cape Verde	0.035	6e-08	1.908	3.51e-06	0.0	0.0	0.011	2e-08
Bangladesh	0.414	0.0	610.332	3.78e-06	0.002	0.0	3.662	2e-08
Brunei	0.002	1e-08	1.621	3.78e-06	0.0	0.0	0.01	2e-08
El Salvador	0.329	5e-08	22.854	3.56e-06	0.002	0.0	0.137	2e-08
Haiti	0.713	6e-08	39.021	3.51e-06	0.004	0.0	0.234	2e-08
Belize	0.042	1.1e-07	1.253	3.27e-06	0.0	0.0	0.008	2e-08
Sierra Leone	1.569	2.1e-07	14.831	1.94e-06	0.009	0.0	0.089	1e-08
Namibia	0.057	2e-08	9.122	3.73e-06	0.0	0.0	0.055	2e-08
Moldova	0.009	0.0	13.412	3.78e-06	0.0	0.0	0.08	2e-08
Guinea-Bissau	0.279	1.5e-07	5.681	3.03e-06	0.002	0.0	0.034	2e-08
United Republic of Tanzania	1.878	3e-08	206.959	3.67e-06	0.011	0.0	1.242	2e-08
Grenada	0.011	9e-08	0.375	3.36e-06	0.0	0.0	0.002	2e-08
Chad	0.794	5e-08	55.092	3.56e-06	0.005	0.0	0.331	2e-08
Kosovo	0.052	3e-08	6.833	3.7e-06	0.0	0.0	0.041	2e-08
Uzbekistan	0.93	3e-08	122.035	3.7e-06	0.006	0.0	0.732	2e-08
Djibouti	0.042	4e-08	3.455	3.6e-06	0.0	0.0	0.021	2e-08
Antigua and Barbuda	0.002	2e-08	0.36	3.74e-06	0.0	0.0	0.002	2e-08
Dominica	0.007	9e-08	0.241	3.36e-06	0.0	0.0	0.001	2e-08
Burundi	2.293	2.1e-07	21.666	1.94e-06	0.014	0.0	0.13	1e-08
Fiji	0.045	5e-08	3.145	3.56e-06	0.0	0.0	0.019	2e-08
Barbados	0.011	4e-08	1.044	3.64e-06	0.0	0.0	0.006	2e-08
Somalia	0.5	3e-08	55.152	3.67e-06	0.003	0.0	0.331	2e-08
Madagascar	1.684	6e-08	92.132	3.51e-06	0.01	0.0	0.553	2e-08
Curacao	0.004	2e-08	0.596	3.73e-06	0.0	0.0	0.004	2e-08
Sudan	0.75	2e-08	156.507	3.74e-06	0.005	0.0	0.939	2e-08
Malta	1.829	3.78e-06	3.658	7.57e-06	0.011	2e-08	0.022	5e-08
Democratic Republic of the Congo	0.862	1e-08	316.696	3.77e-06	0.005	0.0	1.9	2e-08
Maldives	0.001	0.0	1.951	3.78e-06	0.0	0.0	0.012	2e-08
Suriname	0.013	2e-08	2.146	3.73e-06	0.0	0.0	0.013	2e-08
Venezuela	0.666	2e-08	107.573	3.73e-06	0.004	0.0	0.645	2e-08
Zambia	0.756	4e-08	62.519	3.6e-06	0.005	0.0	0.375	2e-08
Papua New Guinea	0.552	6e-08	30.192	3.51e-06	0.003	0.0	0.181	2e-08
Zimbabwe	0.926	6e-08	50.654	3.51e-06	0.006	0.0	0.304	2e-08
Gambia	0.088	4e-08	8.303	3.64e-06	0.001	0.0	0.05	2e-08
Kazakhstan	0.328	2e-08	68.428	3.74e-06	0.002	0.0	0.411	2e-08
Eritrea	0.356	8e-08	15.412	3.44e-06	0.002	0.0	0.092	2e-08
Kyrgyzstan	0.275	4e-08	22.756	3.6e-06	0.002	0.0	0.137	2e-08
Trinidad and Tobago	0.032	2e-08	5.179	3.73e-06	0.0	0.0	0.031	2e-08
South Sudan	2.083	1.9e-07	10.077	9.2e-07	0.012	0.0	0.06	1e-08
Guyana	0.01	1e-08	2.927	3.76e-06	0.0	0.0	0.018	2e-08
Syria	1.604	9e-08	56.881	3.36e-06	0.01	0.0	0.341	2e-08
Honduras	0.098	1e-08	36.117	3.77e-06	0.001	0.0	0.217	2e-08
Myanmar	9.779	1.8e-07	145.581	2.71e-06	0.059	0.0	0.873	2e-08
Equatorial Guinea	0.037	3e-08	4.847	3.7e-06	0.0	0.0	0.029	2e-08
Nicaragua	0.332	5e-08	23.013	3.56e-06	0.002	0.0	0.138	2e-08
