Date	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
2020-02-01	1.688	2.7e-07	1.688	2.7e-07	0.0	0.0	0.0	0.0
2020-02-02	3.376	5.3e-07	5.064	8e-07	0.0	0.0	0.0	0.0
2020-02-03	6.751	1.07e-06	11.815	1.87e-06	0.0	0.0	0.0	0.0
2020-02-04	13.503	2.14e-06	25.318	4.01e-06	0.0	0.0	0.0	0.0
2020-02-05	23.461	3.71e-06	48.779	7.72e-06	0.0	0.0	0.0	0.0
2020-02-06	46.922	7.43e-06	95.701	1.515e-05	0.0	0.0	0.0	0.0
2020-02-07	70.383	1.114e-05	166.084	2.63e-05	0.0	0.0	0.0	0.0
2020-02-08	140.766	2.229e-05	306.85	4.858e-05	0.0	0.0	0.0	0.0
2020-02-09	234.61	3.715e-05	541.461	8.573e-05	0.0	0.0	0.0	0.0
2020-02-10	351.916	5.572e-05	893.377	0.00014145	0.0	0.0	0.0	0.0
2020-02-11	469.221	7.429e-05	1362.598	0.00021574	0.01	0.0	0.01	0.0
2020-02-12	586.526	9.287e-05	1949.124	0.00030861	0.02	0.0	0.03	0.0
2020-02-13	703.831	0.00011144	2652.955	0.00042005	0.041	1e-08	0.071	1e-08
2020-02-14	821.137	0.00013001	3474.092	0.00055006	0.081	1e-08	0.152	2e-08
2020-02-15	985.364	0.00015602	4459.456	0.00070608	0.141	2e-08	0.293	5e-08
2020-02-16	1173.052	0.00018573	5632.509	0.00089181	0.282	4e-08	0.574	9e-08
2020-02-17	1407.663	0.00022288	7040.172	0.00111469	0.422	7e-08	0.997	1.6e-07
2020-02-18	1689.196	0.00026746	8729.367	0.00138215	0.845	1.3e-07	1.841	2.9e-07
2020-02-19	2181.878	0.00034546	10911.245	0.00172761	1.408	2.2e-07	3.249	5.1e-07
2020-02-20	3073.398	0.00048662	13984.642	0.00221423	2.111	3.3e-07	5.36	8.5e-07
2020-02-21	4434.138	0.00070207	18418.781	0.0029163	2.815	4.5e-07	8.176	1.29e-06
2020-02-22	5469.553	0.00086601	23888.333	0.00378231	3.519	5.6e-07	11.695	1.85e-06
2020-02-23	6847.498	0.00108419	30735.832	0.0048665	4.223	6.7e-07	15.918	2.52e-06
2020-02-24	8338.057	0.00132019	39073.889	0.00618669	4.927	7.8e-07	20.845	3.3e-06
2020-02-25	10132.045	0.00160424	49205.934	0.00779093	5.912	9.4e-07	26.757	4.24e-06
2020-02-26	12195.054	0.00193088	61400.988	0.00972181	7.038	1.11e-06	33.795	5.35e-06
2020-02-27	14925.92	0.00236327	76326.908	0.01208507	8.446	1.34e-06	42.241	6.69e-06
2020-02-28	18434.129	0.00291873	94761.037	0.01500381	10.135	1.6e-06	52.376	8.29e-06
2020-02-29	22675.887	0.00359034	117436.923	0.01859415	13.091	2.07e-06	65.467	1.037e-05
2020-03-01	27303.97	0.00432312	144740.893	0.02291727	18.44	2.92e-06	83.908	1.329e-05
