Name	Cases	Cases_per_capitaTotal_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Guernsey	6.227	9.287e-05	20.693	0.00030861	0.037	5.6e-07	0.124	1.85e-06
Vatican	0.089	0.00011144	0.336	0.00042005	0.001	6.7e-07	0.002	2.52e-06
Lithuania	621.73	0.00022288	3109.47	0.00111469	3.73	1.34e-06	18.657	6.69e-06
Slovenia	322.543	0.00015602	1459.729	0.00070608	1.935	9.4e-07	8.758	4.24e-06
Bosnia and Herzegovina	518.585	0.00015602	2346.958	0.00070608	3.112	9.4e-07	14.082	4.24e-06
Spain	90217.966	0.00193088	454239.265	0.00972181	541.308	1.159e-05	2725.436	5.833e-05
West Bank And Gaza	1.336	2.7e-07	1.336	2.7e-07	0.008	0.0	0.008	0.0
Monaco	8.621	0.00022288	43.119	0.00111469	0.052	1.34e-06	0.259	6.69e-06
Jersey	9.063	9.287e-05	30.116	0.00030861	0.054	5.6e-07	0.181	1.85e-06
Albania	372.666	0.00013001	1576.689	0.00055006	2.236	7.8e-07	9.46	3.3e-06
Azerbaijan	1846.62	0.00018573	8866.696	0.00089181	11.08	1.11e-06	53.2	5.35e-06
Republic of Serbia	1089.315	0.00015602	4929.905	0.00070608	6.536	9.4e-07	29.579	4.24e-06
Belarus	2114.099	0.00022288	10573.284	0.00111469	12.685	1.34e-06	63.44	6.69e-06
Turkey	9173.694	0.00011144	34578.445	0.00042005	55.042	6.7e-07	207.471	2.52e-06
Czech Republic	1973.542	0.00018573	9476.126	0.00089181	11.841	1.11e-06	56.857	5.35e-06
San Marino	7.53	0.00022288	37.66	0.00111469	0.045	1.34e-06	0.226	6.69e-06
France	240507.165	0.00359034	1245570.764	0.01859415	1443.043	2.154e-05	7473.425	0.00011156
Slovakia	849.819	0.00015602	3846.022	0.00070608	5.099	9.4e-07	23.076	4.24e-06
Norway	1421.349	0.00026746	7345.196	0.00138215	8.528	1.6e-06	44.071	8.29e-06
Montenegro	46.236	7.429e-05	134.267	0.00021574	0.277	4.5e-07	0.806	1.29e-06
Armenia	548.242	0.00018573	2632.43	0.00089181	3.289	1.11e-06	15.795	5.35e-06
Ukraine	8287.874	0.00018573	39794.912	0.00089181	49.727	1.11e-06	238.769	5.35e-06
Finland	13040.624	0.00236327	66686.04	0.01208507	78.244	1.418e-05	400.116	7.251e-05
Sweden	19662.492	0.00193088	98998.861	0.00972181	117.975	1.159e-05	593.993	5.833e-05
Russia	278969.817	0.00193088	1404587.701	0.00972181	1673.819	1.159e-05	8427.526	5.833e-05
Bulgaria	913.24	0.00013001	3863.766	0.00055006	5.479	7.8e-07	23.183	3.3e-06
Romania	5208.412	0.00026746	26915.852	0.00138215	31.25	1.6e-06	161.495	8.29e-06
Portugal	1909.663	0.00018573	9169.403	0.00089181	11.458	1.11e-06	55.016	5.35e-06
Cyprus	152.115	0.00013001	643.574	0.00055006	0.913	7.8e-07	3.861	3.3e-06
Liechtenstein	5.915	0.00015602	26.767	0.00070608	0.035	9.4e-07	0.161	4.24e-06
Hungary	1524.084	0.00015602	6897.538	0.00070608	9.145	9.4e-07	41.385	4.24e-06
Luxembourg	135.45	0.00022288	677.43	0.00111469	0.813	1.34e-06	4.065	6.69e-06
Andorra	14.303	0.00018573	68.675	0.00089181	0.086	1.11e-06	0.412	5.35e-06
Belgium	18323.714	0.00160424	88988.493	0.00779093	109.942	9.63e-06	533.931	4.675e-05
Georgia	997.877	0.00026746	5156.792	0.00138215	5.987	1.6e-06	30.941	8.29e-06
Denmark	1292.132	0.00022288	6462.367	0.00111469	7.753	1.34e-06	38.774	6.69e-06
Poland	5925.251	0.00015602	26815.869	0.00070608	35.552	9.4e-07	160.895	4.24e-06
Moldova	461.011	0.00013001	1950.461	0.00055006	2.766	7.8e-07	11.703	3.3e-06
Croatia	1093.733	0.00026746	5652.154	0.00138215	6.562	1.6e-06	33.913	8.29e-06
Switzerland	2277.796	0.00026746	11771.119	0.00138215	13.667	1.6e-06	70.627	8.29e-06
Estonia	294.398	0.00022288	1472.379	0.00111469	1.766	1.34e-06	8.834	6.69e-06
Kosovo	171.367	9.287e-05	569.479	0.00030861	1.028	5.6e-07	3.417	1.85e-06
Italy	116685.573	0.00193088	587501.263	0.00972181	700.113	1.159e-05	3525.008	5.833e-05
Malta	62.865	0.00013001	265.972	0.00055006	0.377	7.8e-07	1.596	3.3e-06
Netherlands	3840.442	0.00022288	19207.276	0.00111469	23.043	1.34e-06	115.244	6.69e-06
Israel	3069.028	0.00034546	15347.749	0.00172761	18.414	2.07e-06	92.086	1.037e-05
Ireland	1081.747	0.00022288	5410.164	0.00111469	6.49	1.34e-06	32.461	6.69e-06
Austria	2366.189	0.00026746	12227.91	0.00138215	14.197	1.6e-06	73.367	8.29e-06
Germany	195980.797	0.00236327	1002190.04	0.01208507	1175.885	1.418e-05	6013.14	7.251e-05
Greece	2869.174	0.00026746	14827.219	0.00138215	17.215	1.6e-06	88.963	8.29e-06
Macedonia	557.099	0.00026746	2878.955	0.00138215	3.343	1.6e-06	17.274	8.29e-06
Latvia	357.822	0.00018573	1718.114	0.00089181	2.147	1.11e-06	10.309	5.35e-06
United Kingdom	7409.52	0.00011144	27928.737	0.00042005	44.457	6.7e-07	167.572	2.52e-06
Iceland	78.804	0.00022288	394.126	0.00111469	0.473	1.34e-06	2.365	6.69e-06
