Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Perry	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jackson	1	0	0	0	1.933e-5	0	5	2	1.25	9.665e-5	3.866e-5	2.41625e-5	0	0
Russell	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blount	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dallas	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cherokee	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clarke	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Henry	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colbert	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calhoun	2	0	0	0	1.75e-5	0	10	4	2.5	8.75e-5	3.5e-5	2.1875e-5	1	0
Cullman	2	0	0	0	2.397e-5	0	10	4	2.5	1.1985e-4	4.794e-5	2.99625e-5	0	0
Covington	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jefferson	86	0	0	0	1.3044e-4	0	430	172	107.5	6.522e-4	2.6088e-4	1.6305e-4	15	0
Winston	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butler	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cleburne	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pickens	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dale	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coffee	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saint Clair	3	0	0	0	3.383e-5	0	15	6	3.75	1.6915e-4	6.766e-5	4.22875e-5	0	0
Marengo	0	0	0	0	0	0	0	0	0	0	0	0	0	0
De Kalb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geneva	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawrence	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bibb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fayette	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chilton	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barbour	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lauderdale	3	0	0	0	3.247e-5	0	15	6	3.75	1.6235e-4	6.494e-5	4.05875e-5	1	0
Tallapoosa	1	0	0	0	2.469e-5	0	5	2	1.25	1.2345e-4	4.938e-5	3.08625e-5	1	0
Hale	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macon	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conecuh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pike	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crenshaw	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilcox	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile	2	0	0	0	4.83e-6	0	10	4	2.5	2.415e-5	9.66e-6	6.0375e-6	0	0
Sumter	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamar	1	0	0	0	7.223e-5	0	5	2	1.25	3.6115e-4	1.4446e-4	9.02875e-5	0	0
Greene	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Franklin	1	0	0	0	3.188e-5	0	5	2	1.25	1.594e-4	6.376e-5	3.985e-5	1	0
Morgan	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clay	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Walker	3	0	0	0	4.709e-5	0	15	6	3.75	2.3545e-4	9.418e-5	5.88625e-5	2	0
Montgomery	4	0	0	0	1.772e-5	0	20	8	5	8.86e-5	3.544e-5	2.215e-5	1	0
