Name	Confirmed	Deaths	Recovered	Active
East Timor	1	0	0	1
Afghanistan	170	4	2	164
Qatar	693	1	51	641
Bangladesh	49	5	19	25
Bhutan	4	0	0	4
Kuwait	266	0	72	194
Nepal	5	0	1	4
Cambodia	107	0	21	86
Laos	8	0	0	8
Bahrain	515	4	279	232
Brunei	127	1	38	88
Saudi Arabia	1453	8	115	1330
Iran	41495	2757	13911	24827
Singapore	879	3	228	648
Jordan	268	5	26	237
Lebanon	446	11	35	400
China	82198	3308	75923	2967
Iraq	630	46	152	432
Kazakhstan	302	1	21	280
Kyrgyzstan	94	0	3	91
Maldives	17	0	13	4
Oman	179	0	29	150
Philippines	1546	78	42	1426
Indonesia	1414	122	75	1217
Vietnam	203	0	55	148
Mongolia	12	0	2	10
Thailand	1524	9	229	1286
Syria	10	2	0	8
Taiwan	306	5	39	262
Pakistan	1717	21	76	1620
Myanmar	14	0	0	14
United Arab Emirates	611	5	61	545
India	1251	32	102	1117
Uzbekistan	149	2	7	140
Malaysia	2626	37	479	2110
Sri Lanka	122	2	15	105
Japan	1866	54	424	1388
South Korea	9661	158	5228	4275
