Name	Predicted_New_Cases	Total_Predicted_New_Cases
Bhutan	1.136	67.91
Afghanistan	7.376	1768.766
Syria	0.0	0.0
Kyrgyzstan	5.338	1120.66
South Korea	16.087	4732.793
Nepal	4.924	294.286
Kuwait	80.96	9851.858
Malaysia	26.415	8037.959
Indonesia	28.586	7862.116
Iraq	12.692	3280.01
Uzbekistan	21.41	3619.704
Qatar	1804.96	122270.862
Sri Lanka	1.058	290.758
Laos	0.106	33.182
Bahrain	3.491	1228.991
Mongolia	0.379	24.637
Oman	3.005	932.627
Japan	143.628	24976.094
United Arab Emirates	70.466	14160.758
China	5.081	2722.155
Maldives	14.014	837.582
Singapore	8.372	2641.348
India	489.772	71883.732
Saudi Arabia	28.048	8005.782
Philippines	210.32	35893.382
Thailand	20.665	5900.323
Iran	619.235	165413.055
Vietnam	0.693	290.825
Kazakhstan	21.872	4379.392
Pakistan	57.531	14732.195
