Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Confirmed_daily	Deaths_daily
Middlesex	210	0	0	0	0.00025311	0.0	1050	420	262.5	0.00126555	0.00050622	0.0003163875	63	0
Cumberland	1	0	0	0	6.62e-06	0.0	5	2	1.25	3.31e-05	1.324e-05	8.275e-06	0	0
Union	189	0	0	0	0.00033867	0.0	945	378	236.25	0.00169335	0.00067734	0.0004233375	65	0
Hudson	190	1	0	0	0.00028104	1.48e-06	333.333333333	153.846153846	100	0.000493333333333	0.000227692307692	0.000148	64	0
Burlington	36	0	0	0	8.083e-05	0.0	180	72	45	0.00040415	0.00016166	0.0001010375	10	0
Somerset	67	1	0	0	0.00020232	3.02e-06	333.333333333	153.846153846	100	0.00100666666667	0.000464615384615	0.000302	16	1
Passaic	141	0	0	0	0.00028015	0.0	705	282	176.25	0.00140075	0.0005603	0.0003501875	46	0
Sussex	15	0	0	0	0.00010653	0.0	75	30	18.75	0.00053265	0.00021306	0.0001331625	3	0
Unassigned	419	9	0	0	N/A	N/A	3000	1384.61538462	900	N/A	N/A	N/A	198	5
Atlantic	6	0	0	0	2.26e-05	0.0	30	12	7.5	0.000113	4.52e-05	2.825e-05	1	0
Hunterdon	18	0	0	0	0.00014433	0.0	90	36	22.5	0.00072165	0.00028866	0.0001804125	2	0
Ocean	144	1	0	0	0.00023934	1.66e-06	333.333333333	153.846153846	100	0.000553333333333	0.000255384615385	0.000166	42	0
Morris	177	1	0	0	0.00035813	2.02e-06	333.333333333	153.846153846	100	0.000673333333333	0.000310769230769	0.000202	58	0
Cape May	2	0	0	0	2.161e-05	0.0	10	4	2.5	0.00010805	4.322e-05	2.70125e-05	0	0
Gloucester	13	0	0	0	4.461e-05	0.0	65	26	16.25	0.00022305	8.922e-05	5.57625e-05	5	0
Monmouth	238	3	0	0	0.00038303	4.83e-06	1000	461.538461538	300	0.00161	0.000743076923077	0.000483	80	0
Essex	273	4	0	0	0.00034135	5e-06	1333.33333333	615.384615385	400	0.00166666666667	0.000769230769231	0.0005	101	0
Salem	1	0	0	0	1.597e-05	0.0	5	2	1.25	7.985e-05	3.194e-05	1.99625e-05	0	0
Camden	33	1	0	0	6.508e-05	1.97e-06	333.333333333	153.846153846	100	0.000656666666667	0.000303076923077	0.000197	11	1
Mercer	50	0	0	0	0.0001352	0.0	250	100	62.5	0.000676	0.0002704	0.000169	10	0
Bergen	609	6	0	0	0.00065016	6.41e-06	2000	923.076923077	600	0.00213666666667	0.000986153846154	0.000641	152	0
Warren	12	0	0	0	0.00011344	0.0	60	24	15	0.0005672	0.00022688	0.0001418	3	0
